gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
930998712			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:178939	178939	283	Clavijo L.;Cordero Z.		1					Fruto								PRESENT	Montado	En colección																					2006-02-06		37	37	2006	2	6							Árbol. 6 m de altura y 31.5 cm de DAP; corteza blanda y copa angosta; fruto ferrugíneo externamente. internamente blanco verdoso. semillas inmaduras blancas					SOUTH_AMERICA				CO	Vaupés	Taraira		Estación Biológica Mosiro Itajura. Caparú. Igapó del lago del grillo o lago Taraira. al interior del Igapó	Estación Biológica Mosiro Itajura. Caparú. Igapó del lago del grillo o Lago Taraira. al interior del Igapó								-1.080139	-69.504361	8573.0			Grados, minutos, segundos					Yeison Montoya Présiga	2015-09-11	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 505. 506. 515.516. 525. 526. 526 B. 535. 535 B. 1:100.000. Bogotá D.C.																					Crudia amazonica Spruce ex Benth.			Ruíz L.		2005-01-01T00:00:00												Crudia amazonica Spruce ex Benth.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Crudia	Crudia			amazonica			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:18.792Z	200.0	0.0				COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY		true	false	2974634	2974634	6	7707728	220	1370	5386	2974579		2974634	Crudia amazonica	Crudia amazonica Spruce ex Benth.	Crudia amazonica		EML	2024-01-29T08:18:18.792Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.32_2	Vaupés	COL.32.5_2	Taraira			LC
930993949			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:1607	1607	2448	Soejarto D.;Lockwood T.		1					Flor								PRESENT	Montado	En colección																					1970-03-28		87	87	1970	3	28							Tree. 10 m tall; seeds dirty white					SOUTH_AMERICA				CO	Vaupés	Mitú		Río Cuduyarí. confluencia con el río Vaupés. después de Mitú	Río Kudiyari. arriba de la confluencia con el río Vaupés								1.279857	-70.226555	2892.0								Yeison Montoya Présiga	2015-09-10	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 423. 424. 424 B. 442. 443. 443 B. 460. 461. 462. 463. 478. 479. 494. 1:100.000. Bogotá D.C.																					Crudia amazonica Spruce ex Benth.																	Crudia amazonica Spruce ex Benth.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Crudia	Crudia			amazonica			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:06.962Z	200.0	0.0				COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY		true	false	2974634	2974634	6	7707728	220	1370	5386	2974579		2974634	Crudia amazonica	Crudia amazonica Spruce ex Benth.	Crudia amazonica		EML	2024-01-29T08:18:06.962Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.32_2	Vaupés	COL.32.2_2	Mitú			LC
912629753				CC_BY_4_0	2012-09-05T00:00:00Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K000834565	K000834565	8170	et al.; Ferreria, C.A.C.															PRESENT								Projeto Flora Amazônica. Convênio CNPq - NSF															1986-09-16		259	259	1986	9	16		Mata de igapó, solo arenoso						Árvore de 10 m x 22 cm de diam. Frutos velutíneos, imaturos verdes			Presidente Figueiredo	SOUTH_AMERICA				BR			Presidente Figueiredo	Rio Uatumã, margem direita. Igarapé Caititú, a montante da barragem de Balbina. .									-1.5	-59.5											label																							cf.		Grimes, J.														Crudia amazonica Spruce							LEGUMINOSAE-CAESALPINIOIDEAE	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Crudia	Crudia			amazonica			SPECIES				SYNONYM			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2024-01-25T14:35:38.287Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH	StillImage	true	false	7734152	2974634	6	7707728	220	1370	5386	2974579		2974634	Crudia amazonica	Crudia amazonica Spruce ex Benth.	Crudia amazonica Spruce		DWC_ARCHIVE	2024-01-25T14:35:38.287Z	2023-01-07T23:48:17.753Z	true			false	LATIN_AMERICA	EUROPE	BRA	Brazil	BRA.4_1	Amazonas	BRA.4.48_2	Presidente Figueiredo			NE
912629735				CC_BY_4_0	2012-09-05T00:00:00Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K000834557	K000834557	143	Ferreira, L.V.															PRESENT								Sheet 1/2 [multiple sheets K000834558]															1992-02-19		50	50	1992	2	19								Árvore de 8 metros , frutos maduros marrons aveludados.			Manaus	SOUTH_AMERICA				BR			Manaus	Ilha de Marchantaria (rio Solimões). Segunda faixa alta de tera a direita no canal que vai para o Lago Camaleão.									-3.25	-60.0											label																									Ferreira, L.V.														Crudia amazonica Spruce							LEGUMINOSAE-CAESALPINIOIDEAE	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Crudia	Crudia			amazonica			SPECIES				SYNONYM			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2024-01-25T14:35:38.287Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH	StillImage	true	false	7734152	2974634	6	7707728	220	1370	5386	2974579		2974634	Crudia amazonica	Crudia amazonica Spruce ex Benth.	Crudia amazonica Spruce		DWC_ARCHIVE	2024-01-25T14:35:38.287Z	2023-01-07T23:48:17.753Z	true			false	LATIN_AMERICA	EUROPE	BRA	Brazil	BRA.4_1	Amazonas	BRA.4.28_2	Iranduba			NE
912629733				CC_BY_4_0	2012-09-05T00:00:00Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K000834560	K000834560	5177	Lima, E.F.; Thomas, W.; Mota, C.D.A.															PRESENT								Programa Flora. Fieldwork supported by The National Science Foundation and the Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq).															1986-06-18		169	169	1986	6	18		Várzea forest and stream bank vegetation.						Tree, 5-7m. Leaves lustrous green above, pale dull green beneath. Fruit puberulent, pale olive greeen.			Porto Velho	SOUTH_AMERICA				BR			Porto Velho	Represa Samuel along igarapé Japím, ca. 2 Hours upstream from dam by boat.									-8.82	-63.33											label																									Barneby, R.														Crudia amazonica Spruce							LEGUMINOSAE-CAESALPINIOIDEAE	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Crudia	Crudia			amazonica			SPECIES				SYNONYM			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2024-01-25T14:35:19.335Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH	StillImage	true	false	7734152	2974634	6	7707728	220	1370	5386	2974579		2974634	Crudia amazonica	Crudia amazonica Spruce ex Benth.	Crudia amazonica Spruce		DWC_ARCHIVE	2024-01-25T14:35:19.335Z	2023-01-07T23:48:17.753Z	true			false	LATIN_AMERICA	EUROPE	BRA	Brazil	BRA.22_1	Rondônia	BRA.22.11_2	Candeias do Jamari			NE
912629731				CC_BY_4_0	2012-09-05T00:00:00Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K000834559	K000834559	198	Ferreira, L.V.															PRESENT																							1992-05-14		135	135	1992	5	14								"""Árvore de 12 metros; botões florais verdes, flores com cálice verde e corola branca."""			Manaus	SOUTH_AMERICA				BR			Manaus	Ilha de Marchantaria. Rio solimões. Segunda faixa de terra a direita no canal que vai para o Lago Camaleão.									-3.25	-60.0											label																									Ferreira, L.V.														Crudia amazonica Spruce							LEGUMINOSAE-CAESALPINIOIDEAE	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Crudia	Crudia			amazonica			SPECIES				SYNONYM			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2024-01-25T14:35:19.569Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH	StillImage	true	false	7734152	2974634	6	7707728	220	1370	5386	2974579		2974634	Crudia amazonica	Crudia amazonica Spruce ex Benth.	Crudia amazonica Spruce		DWC_ARCHIVE	2024-01-25T14:35:19.569Z	2023-01-07T23:48:17.753Z	true			false	LATIN_AMERICA	EUROPE	BRA	Brazil	BRA.4_1	Amazonas	BRA.4.28_2	Iranduba			NE
912629706				CC_BY_4_0	2012-09-05T00:00:00Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K000834558	K000834558	143	Ferreira, L.V.															PRESENT								Sheet 2/2 [multiple sheets K000834557]															1992-02-19		50	50	1992	2	19								Árvore de 8 metros, frutos maduros marrons aveludados			Manaus	SOUTH_AMERICA				BR			Manaus	Ilha de Marchantaria (Rio Solimões). Segunda faixa alta de terra a direita no canal que vai para o Lago Camaleão.									-3.25	-60.0											label																									Ferreira, L.V.														Crudia amazonica Spruce							LEGUMINOSAE-CAESALPINIOIDEAE	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Crudia	Crudia			amazonica			SPECIES				SYNONYM			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2024-01-25T14:35:38.826Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH	StillImage	true	false	7734152	2974634	6	7707728	220	1370	5386	2974579		2974634	Crudia amazonica	Crudia amazonica Spruce ex Benth.	Crudia amazonica Spruce		DWC_ARCHIVE	2024-01-25T14:35:38.826Z	2023-01-07T23:48:17.753Z	true			false	LATIN_AMERICA	EUROPE	BRA	Brazil	BRA.4_1	Amazonas	BRA.4.28_2	Iranduba			NE
768768874			es	CC_BY_NC_4_0			https://herbario.sinchi.org.co/herbario_v/especimenes/ficha/63194/		PhysicalObject	860.061.110-3	https://www.gbif.org/grscicoll/collection/39da9440-3953-4ef8-97d4-a25c3524bfa6/metrics		Instituto Amazónico de Investigaciones Científicas - SINCHI	COAH			PRESERVED_SPECIMEN				SINCHI:COAH:63194	63194	20325	Cárdenas, D.	https://orcid.org/0000-0002-7495-7564														PRESENT								Ejemplar botánico															2006-12-31		365	365	2006	12	31	31/12/2006											SOUTH_AMERICA				CO	Guainía	Inírida		vegetación de ribera del río Inírida, zona de rebalse entre Mavicure y chorro Bocón									3.475	-67.983333																																	Crudia amazonica Benth.			Cordero-P., Z.		2007-06-01T00:00:00												Crudia amazonica Spruce ex Benth.							Plantae | Magnoliophyta | Magnoliopsida | Fabales | Caesalpiniaceae | Crudia	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Crudia	Crudia			amazonica			SPECIES				ACCEPTED			9b73f44e-bbe1-4fd1-a7a9-c96c38dcf884	CO	2024-01-24T22:48:32.501Z	120.0	0.0				COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2974634	2974634	6	7707728	220	1370	5386	2974579		2974634	Crudia amazonica	Crudia amazonica Spruce ex Benth.	Crudia amazonica		EML	2024-01-24T22:48:32.501Z	2023-09-28T13:57:57.213Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.16_2	Guainía	COL.16.8_2	Puerto Inírida			LC
768752225			es	CC_BY_NC_4_0	2009-11-30T00:00:00Z		https://herbario.sinchi.org.co/herbario_v/especimenes/ficha/39736/		PhysicalObject	860.061.110-3	https://www.gbif.org/grscicoll/collection/39da9440-3953-4ef8-97d4-a25c3524bfa6/metrics		Instituto Amazónico de Investigaciones Científicas - SINCHI	COAH			PRESERVED_SPECIMEN				SINCHI:COAH:39736	39736	11	Duque, A.															PRESENT								Ejemplar botánico															1992-06-01		153	153	1992	6	1	1/06/1992											SOUTH_AMERICA				CO	Amazonas	Puerto Santander		Araracuara, comunidad indígena de Villazul, resguardo indígena Muinane									-0.533333	-72.10167																																	Crudia amazonica Benth.			Ruíz, L.K.		2009-10-01T00:00:00												Crudia amazonica Spruce ex Benth.							Plantae | Magnoliophyta | Magnoliopsida | Fabales | Caesalpiniaceae | Crudia	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Crudia	Crudia			amazonica			SPECIES				ACCEPTED			9b73f44e-bbe1-4fd1-a7a9-c96c38dcf884	CO	2024-01-24T22:48:34.807Z	270.0	0.0				COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2974634	2974634	6	7707728	220	1370	5386	2974579		2974634	Crudia amazonica	Crudia amazonica Spruce ex Benth.	Crudia amazonica		EML	2024-01-24T22:48:34.807Z	2023-09-28T13:57:57.213Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.1_2	Amazonas	COL.1.10_2	Puerto Santander			LC
768736256			es	CC_BY_NC_4_0			https://herbario.sinchi.org.co/herbario_v/especimenes/ficha/18078/		PhysicalObject	860.061.110-3	https://www.gbif.org/grscicoll/collection/39da9440-3953-4ef8-97d4-a25c3524bfa6/metrics		Instituto Amazónico de Investigaciones Científicas - SINCHI	COAH			PRESERVED_SPECIMEN				SINCHI:COAH:18078	18078	566	Restrepo, D.															PRESENT								Ejemplar botánico															1991-11-22		326	326	1991	11	22	22/11/1991											SOUTH_AMERICA				CO	Amazonas	Mirití - Paraná		Araracuara, qda. El Engaño, 2-10km abajo de la desembocadura									-0.79166	-71.8775																																	Crudia amazonica Benth.																	Crudia amazonica Spruce ex Benth.							Plantae | Magnoliophyta | Magnoliopsida | Fabales | Caesalpiniaceae | Crudia	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Crudia	Crudia			amazonica			SPECIES				ACCEPTED			9b73f44e-bbe1-4fd1-a7a9-c96c38dcf884	CO	2024-01-24T22:48:33.876Z						INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2974634	2974634	6	7707728	220	1370	5386	2974579		2974634	Crudia amazonica	Crudia amazonica Spruce ex Benth.	Crudia amazonica		EML	2024-01-24T22:48:33.876Z	2023-09-28T13:57:57.213Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.1_2	Amazonas	COL.1.6_2	Mirití-Paraná			LC
